competition,season,referee,red_card_home,red_card_away,total_red_card_1t,total_red_card_2t,total_red_card_match,total_yel_card_home,total_yel_card_away,total_yel_card_match,total_yel_card_1t,total_yel_card_2t,total_first_yel_card,total_first_yel_card_home,total_first_yel_card_away,total_second_yel_card,total_second_yel_card_home,total_second_yel_card_away,total_expulsions,total_tackle,total_fk_foul,total_penalty_match,total_hand_ball,total_fouls_home,total_fouls_away,total_fouls_match,foul_per_tackle,fk_per_tackle
champions_league,2020/2021,Cüneyt Çakir,0.0,0.0,0.0,0.0,0.0,2.25,3.0,5.25,1.75,3.5,5.0,2.25,2.75,0.25,0.0,0.25,0.25,31.75,28.75,1.0,1.0,15.25,14.5,29.75,0.9536985846970367,0.9188985535734762
champions_league,2020/2021,Damir Skomina,0.0,0.0,0.0,0.0,0.0,1.5,1.5,3.0,2.0,1.0,3.0,1.5,1.5,0.0,0.0,0.0,0.0,36.5,22.5,0.5,1.0,10.5,13.0,23.5,0.6422480620155039,0.6189922480620155
champions_league,2020/2021,Daniel Siebert,0.0,0.0,0.0,0.0,0.0,2.5,1.0,3.5,0.0,3.5,3.5,2.5,1.0,0.0,0.0,0.0,0.0,26.0,27.5,0.0,2.0,14.0,15.5,29.5,1.137037037037037,1.06
champions_league,2020/2021,Daniele Orsato,0.0,0.2,0.0,0.2,0.2,1.8,2.4,4.2,1.4,2.8,4.0,1.6,2.4,0.2,0.2,0.0,0.4,29.6,26.0,0.0,1.8,13.0,14.8,27.8,0.9534267399267398,0.8937326007326007
champions_league,2020/2021,Danny Makkelie,0.0,0.0,0.0,0.0,0.0,3.375,2.625,6.0,1.75,4.25,5.875,3.25,2.625,0.125,0.125,0.0,0.125,32.0,24.5,0.625,1.125,13.875,11.75,25.625,0.8190510607911776,0.7851095047834671
champions_league,2020/2021,Davide Massa,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.0,3.6666666666666665,2.0,1.6666666666666667,3.6666666666666665,1.6666666666666667,2.0,0.0,0.0,0.0,0.0,34.333333333333336,17.666666666666668,0.0,1.0,8.333333333333334,10.333333333333334,18.666666666666668,0.5467015402499275,0.5186449121932993
champions_league,2020/2021,Dr. Felix Brych,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,2.1666666666666665,2.3333333333333335,4.5,1.1666666666666667,3.3333333333333335,4.333333333333333,2.0,2.3333333333333335,0.16666666666666666,0.16666666666666666,0.0,0.5,28.666666666666668,22.333333333333332,0.3333333333333333,2.0,13.833333333333334,10.5,24.333333333333332,0.8635550659327077,0.7906168297158285
champions_league,2020/2021,Felix Zwayer,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,4.0,3.0,6.0,4.0,2.0,1.0,0.0,1.0,1.0,21.0,16.0,2.0,3.0,7.0,12.0,19.0,0.9047619047619048,0.7619047619047619
champions_league,2020/2021,François Letexier,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,26.0,17.0,1.0,1.0,10.0,8.0,18.0,0.6923076923076923,0.6538461538461539
champions_league,2020/2021,Georgi Kabakov,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,18.0,0.0,0.0,13.0,5.0,18.0,0.9,0.9
